"","genename","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1orf114","C1orf114",8.09895130252882,-1.87025453012752,0.220153042382885,-8.49524726019827,1.97511991651119e-17,5.99440865718397e-16
"OLFM4","OLFM4",398.906967711132,-3.11690183400379,0.366999268759653,-8.49293745063303,2.01478747374635e-17,6.09497701741905e-16
"BTG2","BTG2",5573.67812748414,-1.22882129154007,0.144706094259419,-8.49184201832663,2.03387368534968e-17,6.13283559564649e-16
"CCDC103","CCDC103",166.342796385769,-1.04269057311419,0.122804650364444,-8.4906440433634,2.05495080290938e-17,6.17643425705373e-16
"ENHO","ENHO",128.94742280032,-1.97099749272133,0.232167495980563,-8.48954968651747,2.07439314408521e-17,6.22484695086021e-16
"ABO","ABO",16.0448822523336,-2.18119217313843,0.25704797203083,-8.48554515293673,2.14709734794271e-17,6.43267608336286e-16
"BNIPL","BNIPL",707.940602619606,-1.46523650314303,0.173032446109907,-8.46798699367826,2.49670182179366e-17,7.44423953734482e-16
"CMTM5","CMTM5",4.37218516182528,-4.02567358514422,0.475724855537183,-8.46218888562902,2.62405051666144e-17,7.8114677661062e-16
"EYA1","EYA1",33.6646970043371,-2.43899075406989,0.288250477220075,-8.46135894584404,2.64279587609596e-17,7.85474283874698e-16
"PTN","PTN",473.551007650481,-1.78672360219341,0.211224187690299,-8.45889678512169,2.69918806257603e-17,7.99688018856849e-16
"DOC2A","DOC2A",71.4465008441717,-1.73666011816316,0.205323755331136,-8.45815485579039,2.71641244628603e-17,8.03515662597919e-16
"CARTPT","CARTPT",414.141157586804,-8.57751969737027,1.01501488277705,-8.4506344122782,2.89724149520926e-17,8.54297196020233e-16
"AGBL2","AGBL2",23.4810679157304,-1.36347875475784,0.161359891729189,-8.4499235847665,2.9149354608273e-17,8.58158838743556e-16
"CRISP3","CRISP3",1456.47433429204,3.60543288369157,0.426844883670671,8.44670516532023,2.99639187608064e-17,8.80750462473151e-16
"ZNF483","ZNF483",21.7300330399406,-1.2504537551309,0.148128696607716,-8.44167122081982,3.12832250027759e-17,9.16642691800332e-16
"TFF1","TFF1",4505.88328941018,-2.88432964744051,0.34174272656191,-8.4400615529062,3.17170594996044e-17,9.27897986771343e-16
"LY6G6C","LY6G6C",37.9229330619348,-2.3315928657094,0.276435873771284,-8.43448006186961,3.32678468343955e-17,9.70225564318737e-16
"LEPREL1","LEPREL1",171.209193825451,-1.29975092199822,0.154161553996855,-8.43109639401231,3.42441521933681e-17,9.97140562697683e-16
"NME5","NME5",97.8210133892335,-1.63871432861626,0.194708024873156,-8.41626496742398,3.88677650201477e-17,1.12825324121471e-15
"KLK14","KLK14",35.6306786461023,-3.02276931052681,0.359331961689114,-8.41219160220998,4.02419818277932e-17,1.16271918082935e-15
